ad_id,date,spend,impressions,inline_link_clicks,account_id
3001,2024-09-02,37.37,1580,88,101
3001,2024-09-03,33.4,4466,105,101
3001,2024-09-06,41.78,4234,52,101
3001,2024-09-07,24.47,4885,83,101
3001,2024-09-08,25.78,1757,51,101
3001,2024-09-09,13.7,3093,157,101
3001,2024-09-10,33.44,2011,62,101
3001,2024-09-11,13.12,3096,98,101
3001,2024-09-12,50.36,1831,146,101
3001,2024-09-13,92.84,3814,137,101
3001,2024-09-17,97.31,4974,139,101
3001,2024-09-18,73.49,4382,84,101
3001,2024-09-22,81.96,4121,96,101
3001,2024-09-23,75.85,828,45,101
3001,2024-09-24,20.52,703,112,101
3001,2024-09-25,29.83,3427,33,101
3001,2024-09-26,64.73,2098,159,101
3001,2024-09-27,80.32,2776,60,101
3001,2024-09-28,58.46,4149,183,101
3001,2024-09-29,17.86,4692,110,101
3001,2024-09-30,38.6,4690,24,101
3001,2024-10-02,23.32,4003,104,101
3001,2024-10-03,11.1,3325,99,101
3001,2024-10-04,50.1,1217,65,101
3001,2024-10-05,49.98,3904,123,101
3001,2024-10-06,82.51,3972,196,101
3001,2024-10-08,62.85,1205,46,101
3001,2024-10-09,52.72,4803,95,101
3001,2024-10-10,96.41,3578,32,101
3001,2024-10-11,67.49,2739,116,101
3001,2024-10-12,51.59,1621,61,101
3001,2024-10-13,44.36,4518,20,101
3001,2024-10-15,62.67,4547,153,101
3001,2024-10-16,30.21,520,49,101
3001,2024-10-17,96.04,4371,41,101
3001,2024-10-18,90.34,3917,55,101
3001,2024-10-19,71.91,2504,17,101
3001,2024-10-20,34.95,1046,163,101
3001,2024-10-21,62.3,4072,76,101
3001,2024-10-22,52.84,1479,105,101
3001,2024-10-23,61.77,2626,51,101
3001,2024-10-24,23.15,4276,187,101
3001,2024-10-25,24.7,2733,102,101
3001,2024-10-26,92.09,3416,22,101
3001,2024-10-27,57.67,1129,141,101
3001,2024-10-28,66.52,1274,163,101
