ad_id,ad_name,campaign_id,campaign_name,date,cost_micros,clicks,impressions
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-01,132311252,114,1029
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-02,61292129,132,2684
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-03,140050454,43,1483
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-04,89089091,129,3692
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-05,65145882,126,2122
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-06,127737456,92,1422
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-07,67184646,69,3543
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-08,114849155,36,4675
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-09,25225284,101,2274
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-10,38016734,96,4435
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-11,32527708,34,3083
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-13,135437703,39,3733
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-15,23645536,71,2303
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-16,102745618,88,1742
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-17,99675979,64,1144
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-18,43420929,81,2967
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-19,71218112,130,3388
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-20,76831347,64,4175
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-21,66570076,79,1949
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-22,32518558,84,1380
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-23,103901180,69,3493
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-24,132175774,79,4208
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-25,37021030,91,3677
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-26,39971099,95,1009
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-27,110375178,65,3098
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-28,56260114,124,1783
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-29,60252966,78,4900
4001,Ad Variation 1,5001,Google Brand Campaign,2024-09-30,48009488,140,2519
4001,Ad Variation 1,5001,Google Brand Campaign,2024-10-01,148455254,117,2786
4001,Ad Variation 1,5001,Google Brand Campaign,2024-10-03,25003971,149,2780
4001,Ad Variation 1,5001,Google Brand Campaign,2024-10-04,68582968,93,1719
4001,Ad Variation 1,5001,Google Brand Campaign,2024-10-05,117637812,65,2571
4001,Ad Variation 1,5001,Google Brand Campaign,2024-10-08,66107200,25,2842
