ID_ORDER,ID_PRODUCT,ID_BUYER,ID_SELLER,ID_SELLER_COUNTRY,ID_BUYER_COUNTRY,DATE_PAYMENT,BRAND,CATEGORY,REVENUE
34033734,13681706,9666775,6723223,203,170,2021-01-07 00:09:24.000,Dsquared2,clothing,57.274560000000
33933770,13575555,8259842,9983902,222,222,2021-01-05 00:23:10.000,Eytys,shoes,168.739862400000
33415990,10239167,8541994,144764,141,204,2021-01-06 00:06:50.000,Dior,shoes,126.414000000000
33415990,10239167,8941774,144764,141,204,2021-01-06 00:06:50.000,Dior,shoes,126.414000000000
33415990,10239167,8541774,944764,141,204,2021-01-06 00:06:50.000,Dior,shoes,126.414000000000
33415990,10239167,8541554,177767,141,204,2021-01-06 00:06:50.000,Dior,shoes,126.414000000000
33415990,10239167,8541224,155765,141,204,2021-01-06 00:06:50.000,Dior,shoes,126.414000000000
34265913,13840038,10442152,11371626,175,175,2021-01-14 00:28:02.000,Chanel,accessories,112.059000000000
34090789,11553467,11375808,10402373,74,105,2021-01-08 00:20:07.000,SEIKO,accessories,170.982000000000
34194457,7906031,66433269,5738919,105,223,2021-01-05 00:12:59.000,Roberto Cavalli,jewellery,189.648523584127
34194457,7906031,11433019,5738989,105,223,2021-01-05 00:12:59.000,Roberto Cavalli,jewellery,189.648523584127
34213223,12580401,11046667,7771155,222,222,2021-01-06 00:04:25.000,Maison Martin Margiela,shoes,89.564150700000
34244018,13178426,7335847,9135153,105,74,2021-01-06 00:00:46.000,Bvlgari,bags,194.049000000000
34244018,13178426,7335847,9135153,105,74,2021-01-06 00:00:46.000,Bvlgari,bags,194.049000000000
34244018,13178426,1335841,9135153,105,74,2021-01-06 00:00:46.000,Bvlgari,bags,194.049000000000
34134903,13353879,6277988,11272282,84,74,2021-01-06 00:09:29.000,Tissot,accessories,76.500000000000
34146411,13594683,55303560,10482555,105,171,2021-01-06 00:08:56.000,Fendi,jewellery,172.458000000000
33949642,10353961,2492284,8257,74,74,2021-01-06 00:02:13.000,Francesco Smalto,clothing,80.433000000000
34172589,13518195,4268987,11327123,105,105,2021-01-07 00:03:15.000,Gucci,bags,121.368693009119
34172589,13518195,2268980,11027120,105,105,2021-01-07 00:03:15.000,Gucci,bags,121.368693009119
34172589,13518195,4268980,11327123,105,105,2021-01-07 00:03:15.000,Gucci,bags,121.368693009119
34172589,13518195,4268980,11327123,105,105,2021-01-07 00:03:15.000,Gucci,bags,121.368693009119
34172589,13518195,4968980,11322123,105,105,2021-01-07 00:03:15.000,Gucci,bags,121.368693009119
34172589,13518195,4268980,11327123,105,105,2021-01-07 00:03:15.000,Gucci,bags,121.368693009119
34077956,12585220,5544430,3987832,81,13,2021-01-07 00:29:35.000,Louis Vuitton,clothing,216.776580300000
34284720,11026745,3508687,8626380,123,204,2021-01-07 00:05:11.000,Prada,clothing,43.893000000000
34172589,12578852,4268980,7532625,195,105,2021-01-07 00:03:15.000,Gucci,bags,83.550911854103
34172589,12578852,4668980,9532625,195,105,2021-01-07 00:03:15.000,Gucci,bags,83.550911854103
34172589,12578852,8268980,9532625,195,105,2021-01-07 00:03:15.000,Gucci,bags,83.550911854103
34172589,12578852,4268980,9532625,195,105,2021-01-07 00:03:15.000,Gucci,bags,83.550911854103
34172589,12578852,4218980,9732627,195,105,2021-01-07 00:03:15.000,Gucci,bags,83.550911854103
34172589,12578852,4238980,7532625,195,105,2021-01-07 00:03:15.000,Gucci,bags,83.550911854103
34217114,13697996,3021881,11013014,105,195,2021-01-08 00:00:02.000,Yves Saint Laurent,bags,43.029000000000
34325562,12097239,5581010,13140,105,105,2021-01-08 00:21:25.000,Prada,clothing,42.300000000000
34325562,12097239,5584444,13180,105,105,2021-01-08 00:21:25.000,Prada,clothing,42.300000000000
34325562,12097239,5584040,93990,105,105,2021-01-08 00:21:25.000,Prada,clothing,42.300000000000
34325562,12097239,5584040,13190,105,105,2021-01-08 00:21:25.000,Prada,clothing,42.300000000000
34325562,12097239,5589090,13190,105,105,2021-01-08 00:21:25.000,Prada,clothing,42.300000000000
34325562,12097239,5584040,13190,105,105,2021-01-08 00:21:25.000,Prada,clothing,42.300000000000
34325562,12097239,5584040,13190,105,105,2021-01-08 00:21:25.000,Prada,clothing,42.300000000000
34325562,12097239,5584040,13190,105,105,2021-01-08 00:21:25.000,Prada,clothing,42.300000000000
34325562,12097239,4484040,13170,105,105,2021-01-08 00:21:25.000,Prada,clothing,42.300000000000
34325562,12097239,5584040,13190,105,105,2021-01-08 00:21:25.000,Prada,clothing,42.300000000000
34434108,13443640,11186110,8457165,105,105,2021-01-13 00:10:33.000,Saint Laurent,bags,1417.482000000000
33564576,13765824,10797381,10465333,195,74,2021-01-13 00:11:02.000,Carolina Herrera,clothing,108.000000000000
34575683,12472808,11524506,7959935,13,13,2021-01-14 00:10:18.000,Hermès,clothing,62.737641900000
34544944,12542242,6345544,9937313,14,74,2021-01-13 00:07:13.000,See by Chloé,bags,64.800000000000
34524803,13728535,10300090,1760381,223,171,2021-01-13 00:20:39.000,Gucci,bags,2004.042246300000
33958558,13653396,6418178,11226667,105,195,2021-01-04 00:50:40.000,Louis Vuitton,bags,466.515000000000
34568343,13661106,33522734,3022988,74,74,2021-01-14 00:26:53.000,Hermès,accessories,968.373000000000
33693257,11752690,8017775,1205720,21,74,2021-01-03 00:21:21.000,Moschino Love,bags,22.401000000000
34175551,13590309,11428570,5514004,123,81,2021-01-04 00:26:11.000,Acne Studios,clothing,180.000000000000
34463955,13529349,5436265,11369949,105,74,2021-01-11 00:00:15.000,Gucci,bags,633.288977100000
33586843,13437371,8115507,7748276,222,222,2021-01-02 00:12:34.000,Bottega Veneta,bags,1011.827241900000
33812470,13605930,9219852,10403722,74,222,2021-01-05 00:33:38.000,Vivienne Westwood,jewellery,160.257811500000
33957702,13642453,8376857,10543600,105,74,2021-01-04 00:22:21.000,Gucci,shoes,193.948158253752
33957702,13642453,8376857,10543600,105,74,2021-01-04 00:22:21.000,Gucci,shoes,193.948158253752
33957702,13642453,8376857,10543600,105,74,2021-01-04 00:22:21.000,Gucci,shoes,193.948158253752
33957702,13642453,8376857,10543600,105,74,2021-01-04 00:22:21.000,Gucci,shoes,193.948158253752
33957702,13642453,8376857,10343600,105,74,2021-01-04 00:22:21.000,Gucci,shoes,193.948158253752
33957702,13642453,8376857,10543600,105,74,2021-01-04 00:22:21.000,Gucci,shoes,193.948158253752
33957702,13642453,2376257,10543600,105,74,2021-01-04 00:22:21.000,Gucci,shoes,193.948158253752
33957702,13642453,8346854,10543600,105,74,2021-01-04 00:22:21.000,Gucci,shoes,193.948158253752
34473883,13696174,9514293,3503533,81,105,2021-01-13 00:23:07.000,Acne Studios,bags,321.201000000000
34473883,13696174,6514263,3503533,81,105,2021-01-13 00:23:07.000,Acne Studios,bags,321.201000000000
34246802,13328370,9539496,7140010,105,81,2021-01-06 00:13:09.000,Woolrich,clothing,172.962000000000
33384310,13192694,8241757,9838788,105,74,2021-01-05 00:00:18.000,Louis Vuitton,bags,65.601000000000
33832397,12114400,6172571,9699575,105,203,2021-01-06 00:17:28.000,Converse,shoes,41.512500000000
34217228,13691249,80497963,5144323,105,81,2021-01-06 00:00:07.000,Elisabetta Franchi,clothing,117.000000000000
33811254,12906653,7444847,6300136,74,81,2021-01-06 00:05:36.000,Comme Des Garcons,clothing,55.728000000000
34189491,13049143,11108833,6194030,81,203,2021-01-06 00:12:55.000,Acne Studios,clothing,39.667500000000
33426267,13769962,8836874,0880002,74,74,2021-01-11 00:00:05.000,Sergio Rossi,shoes,67.410000000000
32836972,11802424,11131366,10524039,74,74,2021-01-07 00:02:03.000,Alexander McQueen,shoes,270.000000000000
33479747,13687020,7339755,11819856,105,222,2021-01-06 00:00:21.000,Elisabetta Franchi,clothing,120.798911700000
34500281,12971507,1130621,10737551,74,74,2021-01-15 00:16:21.000,Lanvin,clothing,203.058000000000
33801728,13377460,608219,10669974,195,74,2021-01-09 00:20:04.000,Hogan,shoes,117.000000000000
33984638,13620195,10000090,314395,74,103,2021-01-06 00:08:08.000,Sézane,clothing,36.000000000000
34255689,13445849,6155919,3865775,105,222,2021-01-06 00:07:59.000,Prada,clothing,750.867405300000
34476165,8749180,10912761,7922042,96,21,2021-01-12 00:08:46.000,Kris Van Assche,clothing,110.928977115005
34476165,8749180,10916761,7982648,96,21,2021-01-12 00:08:46.000,Kris Van Assche,clothing,110.928977115005
34476165,8749180,10915761,7982048,96,21,2021-01-12 00:08:46.000,Kris Van Assche,clothing,110.928977115005
34476165,8749180,10912761,7982048,96,21,2021-01-12 00:08:46.000,Kris Van Assche,clothing,110.928977115005
33804739,13288636,908880,8024548,74,195,2021-01-02 00:17:34.000,Dior,clothing,786.006000000000
34108802,13304304,7759742,6264727,195,74,2021-01-02 00:36:10.000,Ermenegildo Zegna,clothing,81.000000000000
34038997,13588883,1165251,11392086,74,81,2021-01-02 00:13:29.000,Dior,clothing,1275.624000000000
33833251,6929387,2631108,7983449,105,103,2021-01-01 00:33:47.000,Steve Madden,shoes,65.220275700000
33501632,11947930,2554843,9517315,33,105,2021-01-01 00:36:11.000,Dsquared2,clothing,71.100000000000
33501632,11947930,2557873,9517315,33,105,2021-01-01 00:36:11.000,Dsquared2,clothing,71.100000000000
33501632,11947930,2557873,9417314,33,105,2021-01-01 00:36:11.000,Dsquared2,clothing,71.100000000000
33501632,11947930,2557873,9517315,33,105,2021-01-01 00:36:11.000,Dsquared2,clothing,71.100000000000
33501632,11947930,2557873,9516315,33,105,2021-01-01 00:36:11.000,Dsquared2,clothing,71.100000000000
33501632,11947930,2557873,9517315,33,105,2021-01-01 00:36:11.000,Dsquared2,clothing,71.100000000000
33501632,11947930,3557873,9517315,33,105,2021-01-01 00:36:11.000,Dsquared2,clothing,71.100000000000
34104537,10803917,8555228,4298381,105,203,2021-01-02 00:28:38.000,Genny,clothing,16.073010000000
31957090,12970197,476759,8892897,222,222,2021-01-11 00:20:39.000,Bottega Veneta,shoes,639.289710000000
33867256,12048518,0153903,1571041,105,223,2021-01-06 00:00:06.000,Chanel,clothing,193.107123900000
31578273,13610450,3420760,11020988,33,222,2021-01-06 00:10:09.000,Non Signé / Unsigned,clothing,60.953391900000
31578273,13610450,3420760,11020988,33,222,2021-01-06 00:10:09.000,Non Signé / Unsigned,clothing,60.953391900000
33028884,13671531,659955,128207,74,105,2021-01-06 00:07:08.000,Sandro,clothing,50.391000000000
33927590,13665044,9649879,7576234,74,171,2021-01-05 00:37:49.000,Longchamp,bags,38.133000000000
34111566,12107263,11277779,1811178,33,105,2021-01-06 00:11:57.000,Moschino,accessories,36.000000000000
34248364,10946930,7533417,3949292,84,38,2021-01-06 00:16:58.000,Prada,shoes,97.527464100000
33485665,12841457,8253227,80983388,105,105,2021-01-05 00:39:29.000,Moon Boot,shoes,31.500000000000
34251473,12677401,5637716,5600973,105,105,2021-01-06 00:01:41.000,Non Signé / Unsigned,shoes,32.400000000000
33745565,13690198,8569445,6342902,105,105,2021-01-06 00:05:37.000,Brunello Cucinelli,clothing,490.482000000000
33176031,13388144,11208088,10830000,55,81,2021-01-01 00:11:34.000,Dior,jewellery,51.219000000000
33944769,13276108,11022772,10245063,105,223,2021-01-01 00:22:37.000,Eytys,shoes,159.480300413179
33944769,13276108,11022772,10245063,105,223,2021-01-01 00:22:37.000,Eytys,shoes,159.480300413179
33944769,13276108,11022772,18245863,105,223,2021-01-01 00:22:37.000,Eytys,shoes,159.480300413179
33944769,13276108,11000770,13245363,105,223,2021-01-01 00:22:37.000,Eytys,shoes,159.480300413179
33944769,13276108,11099779,00245063,105,223,2021-01-01 00:22:37.000,Eytys,shoes,159.480300413179
33944769,13276108,11022772,50245063,105,223,2021-01-01 00:22:37.000,Eytys,shoes,159.480300413179
33589975,10262889,11210862,8078031,105,195,2021-01-01 00:34:40.000,Jil Sander,clothing,68.229000000000
33103568,10680938,3264848,6856832,103,222,2021-01-01 00:18:52.000,Gucci,shoes,62.088018300000
33361473,13340415,11253355,11268547,105,105,2021-01-02 00:02:46.000,BORBONESE,bags,18.000000000000
33408593,12806418,8613131,8643800,81,105,2021-01-15 00:08:58.000,Max & Co,shoes,63.000000000000
34135415,12836580,11189515,0252275,74,206,2021-01-15 00:19:42.000,Celine,shoes,149.082217200000
34218547,13611251,77439737,8724211,222,222,2021-01-05 00:35:22.000,Burberry,accessories,110.342228249219
34218547,13611251,11439131,8724211,222,222,2021-01-05 00:35:22.000,Burberry,accessories,110.342228249219
34255166,12965960,607175,1723082,81,222,2021-01-07 00:09:39.000,Dolce & Gabbana,bags,164.505538800000
34296262,13697582,11657076,00450752,105,195,2021-01-11 00:30:22.000,Prada,bags,182.745000000000
33443943,11891110,9763210,2800430,81,153,2021-01-11 00:17:06.000,Ami,clothing,48.438675000000
33443943,11891110,9763910,2800160,81,153,2021-01-11 00:17:06.000,Ami,clothing,48.438675000000
33723881,13674288,11196271,3129954,74,223,2021-01-11 00:16:59.000,Camper,shoes,203.265957600000
33434018,11304573,1001095,7728767,222,222,2021-01-12 00:05:25.000,Prada,clothing,160.811321400000
33434018,11304573,1441495,5728565,222,222,2021-01-12 00:05:25.000,Prada,clothing,160.811321400000
33434018,11304573,1441495,5328565,222,222,2021-01-12 00:05:25.000,Prada,clothing,160.811321400000
34229952,13739509,9134330,9372906,222,222,2021-01-12 00:12:11.000,Dries Van Noten,bags,139.844617200000
34456549,9891862,1301709,9528241,74,105,2021-01-11 00:13:22.000,Vans,shoes,14.400000000000
34061295,10129319,1945990,7538055,81,105,2021-01-06 00:19:16.000,Gucci,clothing,178.200000000000
33893069,13598496,7329092,78600,74,74,2021-01-05 00:33:32.000,Lalique,design & decoration,107.001000000000
