ad_set_id,ad_set_name,campaign_id,date,spend
2001,Interest Targeting,1001,2024-09-02,134.14
2001,Interest Targeting,1001,2024-09-03,101.1
2001,Interest Targeting,1001,2024-09-04,119.55
2001,Interest Targeting,1001,2024-09-05,53.43
2001,Interest Targeting,1001,2024-09-06,88.41
2001,Interest Targeting,1001,2024-09-07,73.17
2001,Interest Targeting,1001,2024-09-08,33.23
2001,Interest Targeting,1001,2024-09-09,88.4
2001,Interest Targeting,1001,2024-09-10,47.77
2001,Interest Targeting,1001,2024-09-11,84.93
2001,Interest Targeting,1001,2024-09-12,189.73
2001,Interest Targeting,1001,2024-09-13,157.04
2001,Interest Targeting,1001,2024-09-14,35.71
2001,Interest Targeting,1001,2024-09-15,120.26
2001,Interest Targeting,1001,2024-09-16,38.59
2001,Interest Targeting,1001,2024-09-17,119.76
2001,Interest Targeting,1001,2024-09-18,161.2
2001,Interest Targeting,1001,2024-09-20,94.49
2001,Interest Targeting,1001,2024-09-21,150.47
2001,Interest Targeting,1001,2024-09-22,198.69
2001,Interest Targeting,1001,2024-09-23,113.8
2001,Interest Targeting,1001,2024-09-24,50.51
2001,Interest Targeting,1001,2024-09-25,68.31
2001,Interest Targeting,1001,2024-09-26,50.1
2001,Interest Targeting,1001,2024-09-27,73.96
2001,Interest Targeting,1001,2024-09-28,85.0
2001,Interest Targeting,1001,2024-09-30,109.24
2001,Interest Targeting,1001,2024-10-01,102.42
2001,Interest Targeting,1001,2024-10-02,21.22
2001,Interest Targeting,1001,2024-10-03,171.49
2001,Interest Targeting,1001,2024-10-04,175.2
2001,Interest Targeting,1001,2024-10-05,97.51
2001,Interest Targeting,1001,2024-10-07,126.99
2001,Interest Targeting,1001,2024-10-08,128.58
2001,Interest Targeting,1001,2024-10-09,106.22
2001,Interest Targeting,1001,2024-10-10,91.68
2001,Interest Targeting,1001,2024-10-11,152.28
2001,Interest Targeting,1001,2024-10-12,194.2
2001,Interest Targeting,1001,2024-10-13,78.66
2001,Interest Targeting,1001,2024-10-14,161.46
2001,Interest Targeting,1001,2024-10-15,187.77
2001,Interest Targeting,1001,2024-10-16,199.51
