Ad ID Request/Update Date,App Latest Version,App Live Date,Studio Name,Project code,App Name,Platform,Ad Network,Device,Ad Unit Type,Ad Size,Ad Unit ID,Secondary Ad Unit ID,Store/Bundle ID,App Orientation,"Week 0
Impressions","Week 1
Impressions","Week 0
eCPM","Week 1
eCPM","Week 0
Revenue","Week 1
Revenue","Week 0
Sessions","Week 1
Sessions",Week 0 Impressions per Sessions,Week 1 Impressions per Sessions,Week 1 Revenue per Sessions,Comment,Ad Network Dashboard Traffic Check,Ad unit ID copied correctly to Mediator,Mediator Waterfall Traffic Check,Charles Proxy Check
12/22/2016,,,iPrincess Entertainment Limited,IPE070,Royal Pet SPA & Princess Salon - Girls Games,iOS,DFP,Phone,Banner,320x50,/202162408/IPE070iOS-Phone-Banner,,988639611,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE070,Royal Pet SPA & Princess Salon - Girls Games,iOS,DFP,Phone,Interstitial,320x480,/202162408/IPE070iOS-Phone-Interstitial,,988639611,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE070,Royal Pet SPA & Princess Salon - Girls Games,iOS,DFP,Tablet,Banner,728x90,/202162408/IPE070iOS-Tablet-Banner,,988639611,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE070,Royal Pet SPA & Princess Salon - Girls Games,iOS,DFP,Tablet,Interstitial,768x1024,/202162408/IPE070iOS-Tablet-Interstitial,,988639611,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE074,School Play - Costume Makeover Dress Up Story,iOS,DFP,Phone,Banner,320x50,/202162408/IPE074iOS-Phone-Banner,,993523353,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE074,School Play - Costume Makeover Dress Up Story,iOS,DFP,Phone,Interstitial,320x480,/202162408/IPE074iOS-Phone-Interstitial,,993523353,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE074,School Play - Costume Makeover Dress Up Story,iOS,DFP,Tablet,Banner,728x90,/202162408/IPE074iOS-Tablet-Banner,,993523353,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE074,School Play - Costume Makeover Dress Up Story,iOS,DFP,Tablet,Interstitial,768x1024,/202162408/IPE074iOS-Tablet-Interstitial,,993523353,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE225,Princess Makeover™,iOS,DFP,Phone,Banner,320x50,/202162408/IPE225iOS-Phone-Banner,,944843716,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE225,Princess Makeover™,iOS,DFP,Phone,Interstitial,320x480,/202162408/IPE225iOS-Phone-Interstitial,,944843716,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE225,Princess Makeover™,iOS,DFP,Tablet,Banner,728x90,/202162408/IPE225iOS-Tablet-Banner,,944843716,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE225,Princess Makeover™,iOS,DFP,Tablet,Interstitial,768x1024,/202162408/IPE225iOS-Tablet-Interstitial,,944843716,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE231,Baby Prince & Princess SPA Salon - Royal Coronation Day,iOS,DFP,Phone,Banner,320x50,/202162408/IPE231iOS-Phone-Banner,,955121002,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE231,Baby Prince & Princess SPA Salon - Royal Coronation Day,iOS,DFP,Phone,Interstitial,320x480,/202162408/IPE231iOS-Phone-Interstitial,,955121002,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE231,Baby Prince & Princess SPA Salon - Royal Coronation Day,iOS,DFP,Tablet,Banner,728x90,/202162408/IPE231iOS-Tablet-Banner,,955121002,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE231,Baby Prince & Princess SPA Salon - Royal Coronation Day,iOS,DFP,Tablet,Interstitial,768x1024,/202162408/IPE231iOS-Tablet-Interstitial,,955121002,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE234,Princess Jewelry Maker Salon - Girls Accessory Design Games,iOS,DFP,Phone,Banner,320x50,/202162408/IPE234iOS-Phone-Banner,,961903776,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE234,Princess Jewelry Maker Salon - Girls Accessory Design Games,iOS,DFP,Phone,Interstitial,320x480,/202162408/IPE234iOS-Phone-Interstitial,,961903776,Portrait,,,,,,,,,,,,,,,,
12/22/2016,,,iPrincess Entertainment Limited,IPE234,Princess Jewelry Maker Salon - Girls Accessory Design Games,iOS,DFP,Tablet,Banner,728x90,/202162408/IPE234iOS-Tablet-Banner,,961903776,Portrait,,,,,,,,,,,,,,,,
